rank,uid,username,type
1,11866511,顾筱贱,提督
2,766347,Upanチョコ,舰长
3,499403795,白-小灰灰,舰长
4,532705928,八木百货社长,舰长
5,3694282,席雨迎新,舰长
6,10060958,缥凌,舰长
7,3797081,万般皆命-Inochi,舰长
8,337515,Blackの黑土,舰长
9,20029293,参议院的震荡波,舰长
10,1757179,黑猫家的黑咪,舰长
11,31102765,一只普通的土豆片,舰长
12,79138148,宽油彭膨芃,舰长
13,319985534,慕澪萨满,舰长
14,18075705,夜然z,舰长
15,186388,美琴丶,舰长
16,53390742,肆叁该摸了,舰长
17,14160235,伊卡呦,舰长
18,44996638,人生哒呦,舰长
19,561780,理科卷卷卷子,舰长
20,303387,蕾欧诺菈,舰长
21,1833082,方法放寒假,舰长
22,15998465,位面之碎,舰长
23,1428441528,阿买official,舰长
24,23985,黒猫サクヤ_月の雫,舰长
25,437880151,狂気のMad_Scientist,舰长
26,2466201,那朵花未绽放,舰长
27,479612904,无形之名,舰长
28,478193220,冬瓜酱dayo,舰长
29,1581983529,鬼鲨l,舰长
30,8860886,YokiLee17,舰长
31,3546745468357073,夜夜凌轩,舰长
32,501527627,贺寻study,舰长
33,355090622,明月柚木Yuzuki_ch,舰长
34,657386,三日月PiKa,舰长
35,10790971,釘宮家的美少女mellow111,舰长
36,25132024,无骨鸭掌-boneless,舰长
37,22952897,老咸苟,舰长
38,5716879,随の逸,舰长
39,11230340,店长也是掌柜的,舰长
40,50528429,黑池伏世录,舰长
41,3546738019273250,爱你的茭白哦,舰长
42,75958482,大春精神点别丢份儿,舰长
43,38102125,只是那次突然,舰长
44,3353519,小孩子少揣手,舰长
45,76525418,DslHz,舰长
46,312711,莓绅士_w,舰长
