rank,uid,username,type
1,766347,Upanチョコ,总督
2,532705928,八木百货社长,提督
3,3694282,席雨迎新,提督
4,186388,美琴丶,提督
5,44996638,人生哒呦,提督
6,499403795,白-小灰灰,舰长
7,9113499,天下の宗一郎,舰长
8,10060958,缥凌,舰长
9,3797081,万般皆命-,舰长
10,3001757,亞鼎Akanae,舰长
11,337515,Blackの黑土,舰长
12,492045,飘渺之雲,舰长
13,341979543,万年鸽妖,舰长
14,1757179,黑猫家的黑咪,舰长
15,20029293,参议院的震荡波,舰长
16,3099340,Piero菌,舰长
17,23740116,东方的西瓜,舰长
18,4332144,社畜老墨,舰长
19,18075705,夜然z,舰长
20,79138148,宽油彭膨芃,舰长
21,2605990,雁归归归归,舰长
22,319985534,慕澪萨满,舰长
23,53390742,肆叁该摸了,舰长
24,561780,理科卷卷卷子,舰长
25,303387,蕾欧诺菈,舰长
26,296574,Nz兔子,舰长
27,298134792,崩坏的栗子_108番,舰长
28,2592337,活野猪,舰长
29,31102765,一只普通的土豆片,舰长
30,37609310,夜那由多,舰长
31,98844,眠鳥春告,舰长
32,381741167,炽莨Bryant,舰长
33,9372115,乃乃乃乃乃ww,舰长
34,14160235,伊卡呦,舰长
35,1833082,方法放寒假,舰长
36,15998465,位面之碎,舰长
37,12310907,美味的包包,舰长
38,2089736,巫马白,舰长
39,3638173,苏菲的移动城堡,舰长
40,21411177,喵喵喵小薇,舰长
41,1428441528,阿买official,舰长
42,6589249,drjjj,舰长
43,23985,黒猫サクヤ,舰长
44,3806661,冥夜墨雪,舰长
45,351667336,只好乱写名字,舰长
46,1895012471,蕡实Astre,舰长
47,346120860,有只CC,舰长
48,14650166,败树_Official,舰长
49,437880151,狂気のMad_Scientist,舰长
50,20193099,紫雨傲雪,舰长
51,2466201,那朵花未绽放,舰长
52,206212277,sifanbaobao,舰长
53,3494357252442916,RO姬_Official,舰长
54,3758265,北方栖宅,舰长
55,768023,提督才是本子王,舰长
56,3493144620435623,相星澪_Channel,舰长
57,59701239,孤狼群豺,舰长
58,479612904,无形之名,舰长
59,478193220,冬瓜酱dayo,舰长
60,409792951,紫川ャ,舰长
61,700424407,爱零贰的万星597-,舰长
62,22977747,很难受的夹子,舰长
63,1581983529,鬼鲨l,舰长
64,435267350,SIn7023,舰长
65,2784594,三文鱼今天撑得吐泡泡,舰长
66,153861392,燃余の灰烬,舰长
67,34188791,frysta,舰长
68,4748811,红豆越桔,舰长
69,37751337,小柴批,舰长
70,16270253,输出百分之一,舰长
71,3546380744263888,夜然子,舰长
72,3494357927725237,-醉后清风-,舰长
73,13358498,屁哩哩啦啦,舰长
74,1289454295,醒有明月-,舰长
75,33553653,乌里扬诺夫斯卡,舰长
76,106229064,伊鹿北,舰长
77,44559793,咖啡mx,舰长
78,3546608679520747,がちさん,舰长
79,48235416,铎米Domi,舰长
80,24026776,路过被猫咬了的辘轳,舰长
81,8730442,姛栗kuri,舰长
82,289546533,SHinNIN9,舰长
83,2000157817,柠檬攻击了你的嘴巴,舰长
84,282508755,灬_怀念_灬,舰长
85,109623824,枫林丶枫叶,舰长
86,349528549,无血战舰_㓕,舰长
87,27238631,栖夜沐雪,舰长
88,543794044,LOF_Hades,舰长
89,657386,三日月PiKa,舰长
90,43837288,DivineBlade,舰长
91,3546601662450372,紫雨傲雪1,舰长
92,22952897,老咸苟,舰长
93,12687639,-贺老师-贺切流焰,舰长
94,10790971,美少女mellow111,舰长
95,3991361,星野亜原子,舰长
96,501527627,贺寻study,舰长
97,12961535,超绝最可爱天使ちやん,舰长
98,11866511,顾筱贱,舰长
99,508757921,二十五号胶片,舰长
100,397395142,Kagurayame,舰长
101,30584738,Adnian1491,舰长
102,272934591,皓月haotuki,舰长
103,524933764,坼嶽,舰长
104,78660,DanoR,舰长
105,13637766,夜煩雨聲,舰长
106,383768376,ROG玩家国度,舰长
107,3546595800910748,西米橙,舰长
108,1544974963,啵奇Pochi,舰长
109,391799849,来自南极的我,舰长
110,1157726021,更能体恤百姓之苦,舰长
111,26325760,零-时,舰长
112,457319512,星空唔想训觉,舰长
113,8860886,YokiLee17,舰长
114,26117826,F常胜,舰长
115,88599221,丶叮当,舰长
116,14163749,灼眼0000,舰长
117,14430066,哀伤だよ,舰长
118,396259273,栢白loc,舰长
119,381407445,芣苢Accelerator,舰长
120,172889556,推しの糖,舰长
121,690801149,海神的代谢,舰长
122,5257073,头文字蒂,舰长
123,39554268,AdSparkling,舰长
124,3113186,Murakami牟rua咔咪,舰长
125,25249996,凉尽宫心春日忧,舰长
126,93664036,-苑昔-,舰长
127,7629366,Yuneゆね,舰长
128,591617,生半可CJH,舰长
129,49631892,月隐空夜,舰长
130,3546663366953493,イカヨ,舰长
131,3546663364855857,いかよ,舰长
132,3546663253707659,彭膨凡,舰长
133,3546592934103094,夏纪July,舰长
134,347468949,CAL4TRAVA,舰长
135,34351503,本多正纯丶,舰长
136,23155481,一点荧惑,舰长
137,2059148470,Cat_Li_14,舰长
138,182819395,weishengod,舰长
139,1422052559,龙套君哒,舰长
140,1194216668,一只瓜猹,舰长
141,10112956,艾姆欧德,舰长
142,636266364,Sebastian__n,舰长
143,84057343,一名敏捷的游客,舰长
144,394769890,光华日影_Chronus,舰长
145,180576180,妃爱一生推,舰长
