rank,uid,username,type
1,766347,Upanチョコ,提督
2,3099340,Piero菌,提督
3,31102765,一只普通的土豆片,提督
4,44996638,人生哒呦,提督
5,499403795,白-小灰灰,舰长
6,532705928,八木百货社长,舰长
7,9113499,天下の宗一郎,舰长
8,3694282,席雨迎新,舰长
9,10060958,缥凌,舰长
10,3797081,万般皆命-Inochi,舰长
11,3001757,亞鼎Akanae,舰长
12,337515,Blackの黑土,舰长
13,1757179,黑猫家的黑咪,舰长
14,20029293,参议院的震荡波,舰长
15,23740116,东方的西瓜,舰长
16,18075705,夜然z,舰长
17,79138148,宽油彭膨芃,舰长
18,319985534,慕澪萨满,舰长
19,186388,美琴丶,舰长
20,14160235,伊卡呦,舰长
21,53390742,肆叁该摸了,舰长
22,561780,理科卷卷卷子,舰长
23,303387,蕾欧诺菈,舰长
24,296574,Nz兔子,舰长
25,2592337,活野猪,舰长
26,98844,眠鳥春告,舰长
27,1833082,方法放寒假,舰长
28,15998465,位面之碎,舰长
29,2089736,巫马白,舰长
30,21411177,喵喵喵小薇,舰长
31,1428441528,阿买official,舰长
32,23985,黒猫サクヤ,舰长
33,6589249,drjjj,舰长
34,216635116,燃尽千夜的小羽毛,舰长
35,351667336,只好乱写名字,舰长
36,437880151,狂気のMad_Scientist,舰长
37,346120860,有只CC,舰长
38,14650166,败树_Official,舰长
39,1895012471,蕡实Astre,舰长
40,20193099,紫雨傲雪,舰长
41,2466201,那朵花未绽放,舰长
42,11139137,魇燎,舰长
43,11866511,顾筱贱,舰长
44,479612904,无形之名,舰长
45,478193220,冬瓜酱dayo,舰长
46,2784594,三文鱼今天撑得吐泡泡,舰长
47,22977747,很难受的夹子,舰长
48,204305428,小肥紫还是小肥柴zZ,舰长
49,5002655,龙猫小小_Mia,舰长
50,34188791,frysta,舰长
51,3546608679520747,がちさん,舰长
52,44559793,咖啡mx,舰长
53,657386,三日月PiKa,舰长
54,349528549,无血战舰_㓕,舰长
55,543794044,LOF_Hades,舰长
56,43837288,DivineBlade,舰长
57,88715919,睡教协会,舰长
58,206948882,筱庄QuQ,舰长
59,501527627,贺寻study,舰长
60,8860886,YokiLee17,舰长
61,39508000,努力丶减肥,舰长
62,13637766,夜煩雨聲,舰长
63,450028669,煲仔饭咕咕鸽,舰长
64,28284017,神墟的砖瓦,舰长
65,26325760,零-时,舰长
66,1977034,寂渢,舰长
67,508757921,二十五号胶片,舰长
68,24779619,夜纤幻,舰长
69,93664036,-苑昔-,舰长
70,34351503,本多正纯丶,舰长
71,1987100978,新月-超高校级的吐槽,舰长
72,11230340,店长也是掌柜的,舰长
73,28355772,帕比酱puppy,舰长
74,1272401000,Y夏a,舰长
75,73877441,跑不过RO宝的LuLu,舰长
76,22608192,卖萌拯救世界の佩玖吖,舰长
77,37670574,RyL1nTRL,舰长
78,1011031847,ロウゴン,舰长
79,3494375415876044,枯棗ほしぞら,舰长
80,89358461,Dr4cul4丶CX,舰长
81,4488467,CelestialWhisper,舰长
82,203556280,AFS绯,舰长
83,38102125,只是那次突然,舰长
84,267618211,雪白小狐i丶,舰长
85,211624391,随缘的诹訾,舰长
86,566090948,让理想飞扬吧,舰长
87,9439741,Conflagration,舰长
88,602136532,小芹菜菜喔,舰长
89,4775817,亚让丶,舰长
90,398409136,大大大碗肉丸,舰长
91,388157004,可爱迷人的陆陆,舰长
92,3546666212788515,炽寂,舰长
93,3537116980054723,飞e迈,舰长
94,274747468,M1yuk1丶,舰长
95,259854233,早樱家的七君,舰长
96,2110672,胧灵,舰长
97,197738097,DK鸭,舰长
98,169500656,溺死在幸福中的幻想,舰长
99,1574423224,睡吧睡吧zZ,舰长
100,1423689037,WindowsFT,舰长
101,10880619,内德维德好养,舰长
102,1101543542,呼呼大睡的小熊,舰长
103,8917352,现在喜欢一个人,舰长
104,33757227,百合型哲学研究家佐仓绫音,舰长
105,325265830,小y-燃起来辣,舰长
106,3494361102813661,Vasky_L,舰长
107,91870426,Woods998,舰长
108,687987255,OPM催逝员,舰长
109,14323936,六个零_0oooo0,舰长
110,400611428,可爱肉宝的一只貂,舰长
111,147069532,幽羽朔风,舰长
112,36888093,小呜殿下,舰长
113,3546625737755156,愛の悲しみ丶,舰长
114,8171423,玩-命,舰长
115,652004678,龙星哦,舰长
116,5716879,随の逸,舰长
117,514358235,小钱收集中,舰长
118,49978184,练习册6,舰长
119,456569879,晨曦灬shine,舰长
120,3938218,十六業咲夜丶,舰长
121,3546559878793247,啵奇_Pochi,舰长
122,2926647,ZZzz-003,舰长
123,289111297,超爱看肉宝的小A君,舰长
124,257199535,霜雪长空忆,舰长
125,1937465883,血枫岚,舰长
126,13867673,hellohihalo,舰长
