rank,uid,username,type
1,11866511,顾筱贱,提督
2,766347,Upanチョコ,舰长
3,499403795,白-小灰灰,舰长
4,532705928,八木百货社长,舰长
5,3694282,席雨迎新,舰长
6,10060958,缥凌,舰长
7,3797081,万般皆命-Inochi,舰长
8,337515,Blackの黑土,舰长
9,20029293,参议院的震荡波,舰长
10,1757179,黑猫家的黑咪,舰长
11,31102765,一只普通的土豆片,舰长
12,319985534,慕澪萨满,舰长
13,79138148,宽油彭膨芃,舰长
14,18075705,夜然z,舰长
15,186388,美琴丶,舰长
16,14160235,伊卡呦,舰长
17,53390742,肆叁该摸了,舰长
18,561780,理科卷卷卷子,舰长
19,303387,蕾欧诺菈,舰长
20,1833082,方法放寒假,舰长
21,15998465,位面之碎,舰长
22,381741167,炽莨Bryant,舰长
23,12310907,美味的包包,舰长
24,1428441528,阿买official,舰长
25,23985,黒猫サクヤ_月の雫,舰长
26,437880151,狂気のMad_Scientist,舰长
27,479612904,无形之名,舰长
28,20193099,紫雨傲雪,舰长
29,2466201,那朵花未绽放,舰长
30,478193220,冬瓜酱dayo,舰长
31,1581983529,鬼鲨l,舰长
32,8860886,YokiLee17,舰长
33,3546745468357073,夜夜凌轩,舰长
34,22977747,很难受的夹子,舰长
35,501527627,贺寻study,舰长
36,204305428,小肥紫还是小肥柴zZ,舰长
37,3546666212788515,炽寂,舰长
38,355090622,明月柚木Yuzuki_ch,舰长
39,25132024,无骨鸭掌-boneless,舰长
40,22952897,老咸苟,舰长
41,5716879,随の逸,舰长
42,11230340,店长也是掌柜的,舰长
43,10453971,勿嬜,舰长
44,3546738019273250,爱你的茭白哦,舰长
45,75958482,大春精神点别丢份儿,舰长
46,76525418,DslHz,舰长
47,234375419,淡漠凌,舰长
48,381597499,the_chosen12,舰长
