rank,uid,username,type
1,499403795,白-小灰灰,提督
2,532705928,八木百货社长,舰长
3,9113499,天下の宗一郎,舰长
4,3001757,亞鼎Akanae,舰长
5,10060958,缥凌,舰长
6,337515,Blackの黑土,舰长
7,492045,飘渺之雲,舰长
8,16341643,角狩猎犬,舰长
9,1757179,黑猫家的黑咪,舰长
10,3797081,万般皆命-,舰长
11,23740116,东方的西瓜,舰长
12,4332144,社畜老墨,舰长
13,3694282,席雨迎新,舰长
14,8952170,千灯迷时,舰长
15,3099340,Piero菌,舰长
16,20029293,参议院的震荡波,舰长
17,2923660,莫塔塔,舰长
18,9372115,乃乃乃乃乃ww,舰长
19,303387,蕾欧诺菈,舰长
20,477081998,漫步星河丶,舰长
21,6992505,阿拉斯加蓝港,舰长
22,189808492,碧玺色的赑屃,舰长
23,561780,理科卷卷卷子,舰长
24,296574,Nz兔子,舰长
25,348855437,八木百货社长_official,舰长
26,87652821,vaultboymax,舰长
27,221830917,氪氪子OvO,舰长
28,319985534,慕澪萨满,舰长
29,98844,眠鳥春告,舰长
30,341979543,万年鸽妖,舰长
31,1178470738,八木百货,舰长
32,60462037,Gouryella2022,舰长
33,2592337,悠闲呆壳兽,舰长
34,1833082,方法放寒假,舰长
35,15998465,位面之碎,舰长
36,613156127,隊長別開槍啊_,舰长
37,47113,残樱雪_狐狸的苦茶子,舰长
38,335296529,层垚君,舰长
39,413327781,HXD1D-0546,舰长
40,84273145,雨宫莲是あまみや,舰长
41,19137030,老竹翁啊,舰长
42,2089736,巫马白,舰长
43,15548324,sky丶鸣泣,舰长
44,2269028,波波波波羊,舰长
45,11077016,17岁的萨拉弗,舰长
46,53390742,单推猫猫鼠的43,舰长
47,6589249,drjjj,舰长
48,3806661,冥夜墨雪,舰长
49,3493092034349749,Florica今天睡饱了吗,舰长
50,768023,提督才是本子王,舰长
51,35451465,熙洋_422,舰长
52,26597121,努力挣钱的jill,舰长
53,382395600,心無邪,舰长
54,2466201,那朵花未绽放,舰长
55,281165131,菜园里的彩笔猫,舰长
56,338,你妹,舰长
57,369986,大河9527,舰长
58,5002655,龙猫小小_Mia,舰长
59,2822100,古玉石,舰长
60,3161420,Collin杜,舰长
61,187055,vincent.,舰长
62,14144828,新兵班卡敏,舰长
63,13358498,屁哩哩啦啦,舰长
64,423459661,飛電或人,舰长
65,465137,Maksim大和,舰长
66,1428441528,阿买official,舰长
67,835093,怠惰的月光,舰长
68,21411177,喵喵喵小薇,舰长
69,4245221,dhfuvn,舰长
70,26158799,梦静思故里,舰长
71,585168,哈粗捏,舰长
72,700951632,Miku葱ねぎ,舰长
73,23314626,君子猿鹤,舰长
74,612752,幽冥幻想,舰长
75,38130047,发牌员当个人吧,舰长
76,45043749,在下萝莉控ii,舰长
77,437606084,哆啦_尼可夫,舰长
78,252145900,快不快乐123,舰长
79,14650166,败树_Official,舰长
80,106229064,伊鹿北,舰长
81,106693236,松笠Matsuka,舰长
82,105498681,青衿壹汸,舰长
83,45505148,つ小星,舰长
84,5509066,Liberty顽翼,舰长
85,39358662,黑山羊莎布-尼古拉斯,舰长
86,343891160,Jezza,舰长
87,351667336,只好乱写名字,舰长
88,657386,三日月PiKa,舰长
89,20587049,饭星星大厨,舰长
90,8382490,豆妈vs无聊的日常,舰长
91,7707218,哭泣的水滴,舰长
92,702725328,你好啊-小狗狗,舰长
93,2025823232,秋一Aki,舰长
94,16582167,IT_rubidium_,舰长
